srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,class,label
10.0.0.3,38916,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1779,4354,1645,34,1778,4554,1998,8910,8910,8910,8910,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38917,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,9,13124,37349,18385,42,15745,73915,32552,78763,78763,78763,78763,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38918,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,887,3252,1282,11,885,3936,1507,8885,8885,8885,8885,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38919,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,9,1908,4052,1561,40,1908,5306,2261,9558,9558,9558,9558,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38920,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,11,9571,60583,20188,12,10527,97814,30726,105297,105297,105297,105297,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,38921,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,13,796,3550,1209,12,795,3529,1355,7972,7972,7972,7972,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38922,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1344,2376,918,58,1343,3014,1371,6737,6737,6737,6737,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38923,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,8,25525,108581,43268,43,30631,147003,65085,153177,153177,153177,153177,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38924,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,7,1935,4986,1880,38,1934,5175,2180,9692,9692,9692,9692,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38925,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,10,1154,5441,1850,10,1155,5442,2085,11579,11579,11579,11579,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38926,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,13,11377,81661,25951,12,12515,120135,37829,125174,125174,125174,125174,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,38927,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1727,4026,1502,34,1722,4201,1903,8650,8650,8650,8650,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38928,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,1118,5181,1776,11,1115,6445,2140,11199,11199,11199,11199,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38929,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,2041,4740,1830,81,2054,4986,2305,10292,10292,10292,10292,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38930,10.0.0.2,80,6,12,738,11,3031,52,61,158,30,52,275,2348,687,11,13376,93114,29067,11,14713,133486,41902,147154,147154,147154,147154,0,0,0,0,0,12,738,11,3031,1,7,0,0,632,580,0,1
10.0.0.3,38931,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,751,2219,989,10,751,3034,1193,7528,7528,7528,7528,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38932,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,10,952,3902,1463,10,951,4673,1669,9536,9536,9536,9536,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38933,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,10,21762,89583,36045,41,26107,125882,55793,130590,130590,130590,130590,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38934,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1890,4996,1861,37,1889,5148,2178,9465,9465,9465,9465,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38935,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,10,1489,2604,1085,32,1488,3415,1578,7459,7459,7459,7459,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38936,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,8,15541,51254,22785,35,18649,89017,39354,93266,93266,93266,93266,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38937,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,2012,5407,2094,32,2011,5555,2399,10078,10078,10078,10078,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
10.0.0.3,38938,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,712,2840,1023,11,711,2825,1165,7138,7138,7138,7138,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38939,10.0.0.2,80,6,7,478,6,2771,52,68,158,39,52,461,1500,642,8,17372,62200,26341,36,20850,99870,44191,104269,104269,104269,104269,0,0,0,0,0,7,478,6,2771,1,2,0,0,372,320,0,1
10.0.0.3,38940,10.0.0.2,80,6,11,686,11,3031,52,62,158,31,52,275,2348,687,11,801,3124,1118,11,800,3206,1326,8031,8031,8031,8031,0,0,0,0,0,11,686,11,3031,1,7,0,0,580,580,0,1
10.0.0.3,38941,10.0.0.2,80,6,5,374,5,2719,52,74,158,46,52,543,1500,681,7,1069,1857,787,31,1029,2871,1330,4277,4277,4277,4277,0,0,0,0,0,5,374,5,2719,1,2,0,0,268,268,0,1
10.0.0.3,39144,10.0.0.2,80,6,6,426,6,2771,52,71,158,42,52,461,1500,642,8,1118,2710,991,43,1107,3472,1398,5603,5603,5603,5603,0,0,0,0,0,6,426,6,2771,1,2,0,0,320,320,0,1
